subID,sex,age,WASI_rawV,WASI_rawMR,WASI_verbalT,WASI_mrT,IQ,nativeEnglish,memData
500,F,24.2,54,21,80,50,126,1,0
501,M,23.18356164,45,25,63,61,121,0,1
503,F,18.36986301,41,25,57,62,117,1,0
504,F,19.92328767,43,26,61,68,125,0,1
510,M,22.81917808,33,22,43,52,95,0,1
511,F,19.56164384,45,21,66,51,115,1,1
512,M,24.15342466,36,27,44,71,113,0,1
513,M,22.26027397,43,19,59,46,104,,1
514,F,22.23287671,46,19,65,46,111,1,1
515,F,18.22465753,40,20,55,49,103,1,1
516,M,19.27123288,41,19,57,46,102,1,1
517,M,20.44931507,41,26,55,66,118,1,1
518,F,22.22739726,43,25,59,61,117,0,1
519,M,17.35342466,,,,,,1,1
520,F,13.55342466,36,24,61,68,125,1,1
521,M,11.09041096,37,18,66,52,116,1,1
522,F,27.18356164,19,18,26,44,75,0,1
523,M,14.48767123,41,19,64,48,110,1,1
524,F,23.56438356,46,26,66,65,118,1,1
525,M,10.42465753,40,14,76,44,117,1,1
526,F,14.22465753,41,21,62,53,113,1,1
527,F,11.10958904,32,17,45,47,93,1,1
528,M,13.86027397,37,18,58,47,106,1,1
529,F,9.142465753,23,10,60,49,108,1,1
530,F,8.624657534,,,,,,1,1
531,F,15.95068493,35,26,49,70,117,0,1
532,M,25.65205479,34,19,45,46,92,1,1
533,M,17.15342466,36,14,44,44,89,1,1
534,F,20.75068493,48,22,78,52,121,1,1
535,F,25.16164384,40,26,53,66,117,1,1
536,M,13.55342466,22,19,35,50,87,1,1
537,M,9.569863014,37,16,73,50,120,1,1
538,F,11.11506849,43,80,17,49,125,1,1
539,M,13.90410959,35,18,47,47,94,1,1
540,F,26.04657534,38,22,50,52,102,1,1
541,M,15.30958904,44,23,70,58,133,1,1
542,F,10.84383562,42,23,79,65,138,1,1
550,M,20.56712329,48,26,72,66,133,1,1
551,M,25.00547945,39,12,52,32,86,0,1
552,M,21,47,23,68,54,119,1,1
553,M,18.80273973,41,24,57,58,113,0,1
554,F,18.87123288,48,25,78,62,140,1,1
555,M,21.28767123,43,28,59,75,129,1,1
556,F,27.09863014,45,22,61,52,111,1,1
557,F,24.57808219,46,22,65,52,115,1,1
558,F,25.85479452,41,21,54,50,103,1,1
559,M,26.71232877,58,26,80,64,138,1,1
560,M,23.46849315,43,23,59,54,111,1,1
561,F,18.05753425,42,19,59,46,104,1,1
562,F,23.14794521,53,24,43,57,100,1,1
563,F,8.4,33,10,77,45,119,1,1
564,M,27.51780822,40,23,52,54,105,1,1
565,M,10.87123288,36,18,65,52,115,1,1
566,M,25.67671233,46,21,65,50,113,1,1
568,M,19.25753425,39,17,53,42,95,1,1
569,F,21.67945205,46,22,65,52,115,1,1
570,F,9.539726027,33,20,77,67,138,1,1
571,F,26.70684932,45,21,61,50,109,1,1
572,F,12.17260274,31,15,55,46,101,1,1
573,M,26.07671233,43,18,57,44,101,1,1
574,F,26.57534247,33,22,43,52,95,0,1
575,M,8.780821918,19,15,52,59,109,1,1
576,F,21.65479452,47,20,68,48,114,1,1
577,M,18.23561644,35,27,47,73,117,1,1
578,M,16.84657534,42,18,60,44,103,1,1
579,F,20.6739726,43,23,59,54,111,1,1
580,M,20.43835616,41,26,55,66,118,1,1
581,M,8.704109589,30,14,63,48,109,1,1
582,M,12.09863014,29,21,47,56,102,1,1
583,M,9.279452055,22,11,56,49,103,1,1
584,F,12.69863014,31,22,48,58,106,1,1
585,M,12.09315068,32,24,52,67,117,1,1
586,M,27.79452055,52,23,80,54,129,1,1
601,F,17.81643836,45,26,66,68,134,1,1
603,F,14.31780822,38,23,58,60,116,1,1
604,F,13.66027397,36,19,56,49,104,1,1
605,F,11.60547945,36,19,61,53,112,1,1
606,M,11.60547945,38,23,65,64,134,1,1
607,F,13.80273973,38,24,59,64,120,1,1
608,M,14.95616438,36,27,52,76,138,1,1
609,M,14.97260274,34,22,49,56,105,1,1
610,M,15.96986301,40,24,58,61,117,1,1
611,M,11.93972603,40,23,69,63,128,1,1
612,M,12.56712329,37,19,60,51,109,0,1
614,F,25.02739726,36,25,47,60,106,0,1
615,F,21.92876712,39,21,52,50,102,1,1
616,F,15.84657534,36,21,51,52,102,1,1
617,F,14.90136986,27,23,40,59,99,0,1
619,M,23.70136986,39,16,52,40,92,1,1
621,F,23.03561644,34,16,45,40,87,1,1
622,M,10.70684932,37,20,66,56,119,1,1
625,M,19.47945205,40,26,55,68,120,1,1
626,M,22,43,21,59,50,108,1,1
629,F,12.35616438,36,20,58,53,109,1,1
630,F,15.96164384,41,26,60,70,126,1,1
631,F,16.15068493,39,22,56,54,109,1,1
632,NB,22.95068493,43,26,59,66,122,1,1
633,M,16.84657534,42,25,68,63,127,1,1
635,M,9.079452055,33,24,66,72,138,1,1
636,F,14.91506849,35,21,51,53,103,1,1
637,F,10.11780822,29,20,53,57,109,1,1
638,M,8.076712329,29,19,66,63,125,1,1
639,M,8.873972603,30,15,63,50,111,1,1
640,F,10.70958904,37,19,66,54,117,1,1
641,F,15.1260274,38,23,56,58,112,1,1
642,M,16.42739726,38,18,53,44,97,1,1
643,M,20.92328767,41,25,55,61,114,1,1
644,F,25.40273973,43,27,57,69,123,0,1
645,F,9.824657534,30,14,56,45,101,1,1
646,M,20.31506849,42,24,57,57,112,1,1
649,F,19.10958904,43,26,61,68,125,1,1
650,F,26.25479452,44,25,59,60,117,1,1
651,F,17.05205479,39,17,53,42,95,1,1
652,M,19.36712329,44,23,63,55,116,1,1
653,M,21.05205479,42,20,57,48,104,1,1
654,M,21.78356164,41,25,55,61,114,0,1
656,F,17.39178082,42,24,59,58,115,0,1
658,F,17.41917808,39,22,53,53,105,1,1
659,M,16.53972603,41,27,59,74,129,1,1
660,F,22.99452055,36,19,47,46,94,1,1
661,F,22.10136986,43,21,59,50,108,0,1
662,F,23.62739726,40,21,53,50,102,0,1